Tenure,Complain,Complaint_to_Order_Ratio,DaySinceLastOrder,CashbackAmount,NumberOfDeviceRegistered,SatisfactionScore,Engagement_Score,CityTier,Average_Cashback_Per_Order,WarehouseToHome,Churn
23.0,0.0,0.0,3.0,205.0,4.0,2.0,7.0,1.0,102.5,16.0,0
3.0,1.0,0.5,0.0,164.0,4.0,3.0,7.0,3.0,82.0,28.0,1
4.0,1.0,0.3333333333333333,2.0,127.0,4.0,4.0,6.0,1.0,42.333333333333336,14.0,0
0.0,0.0,0.0,0.0,127.0,2.0,4.0,5.0,3.0,63.5,18.0,1
9.0,0.0,0.0,2.0,122.0,3.0,2.0,5.0,1.0,61.0,29.0,0
8.0,0.0,0.0,0.0,165.0,4.0,4.0,7.0,1.0,82.5,15.0,0
0.0,0.0,0.0,4.0,138.0,3.0,4.0,5.0,1.0,69.0,6.0,0
1.0,0.0,0.0,7.0,153.0,3.0,2.0,6.0,3.0,76.5,15.0,0
22.0,0.0,0.0,0.0,145.0,4.0,3.0,6.0,1.0,72.5,13.0,0
24.0,0.0,0.0,7.0,149.0,3.0,2.0,5.0,3.0,74.5,20.0,0
9.0,0.0,0.0,2.0,125.0,3.0,3.0,6.0,1.0,41.666666666666664,14.0,0
0.0,1.0,0.5,4.0,153.0,2.0,2.0,5.0,3.0,76.5,25.0,1
28.0,1.0,0.5,2.0,267.0,3.0,2.0,6.0,1.0,133.5,8.0,0
0.0,1.0,0.5,3.0,143.0,3.0,3.0,6.0,3.0,71.5,16.0,0
3.0,0.0,0.0,0.0,125.0,3.0,4.0,6.0,3.0,62.5,14.0,0
0.0,0.0,0.0,4.0,131.0,3.0,5.0,6.0,1.0,65.5,9.0,1
9.0,0.0,0.0,2.0,122.0,3.0,4.0,5.0,1.0,61.0,17.0,0
9.0,0.0,0.0,0.0,176.0,4.0,3.0,7.0,3.0,17.6,8.0,0
9.0,1.0,0.5,0.0,123.0,3.0,2.0,5.0,1.0,61.5,10.0,1
10.0,0.0,0.0,17.0,130.0,3.0,5.0,6.0,1.0,10.0,20.0,0
13.0,0.0,0.0,3.0,157.0,3.0,4.0,5.0,3.0,78.5,8.0,0
15.0,0.0,0.0,2.0,126.0,3.0,5.0,6.0,1.0,63.0,14.0,0
10.0,1.0,0.5,1.0,142.0,3.0,4.0,5.0,1.0,71.0,16.0,0
16.0,0.0,0.0,9.0,243.0,4.0,4.0,6.0,1.0,81.0,18.0,0
13.0,0.0,0.0,0.0,134.0,4.0,3.0,7.0,1.0,67.0,8.0,0
27.0,0.0,0.0,2.0,294.0,3.0,5.0,5.0,1.0,147.0,11.0,0
7.0,0.0,0.0,2.0,165.0,3.0,3.0,6.0,3.0,82.5,10.0,0
4.0,0.0,0.0,12.0,143.0,3.0,5.0,5.0,1.0,35.75,13.0,0
9.0,0.0,0.0,2.0,123.0,3.0,2.0,6.0,1.0,61.5,27.0,0
16.0,1.0,0.5,2.0,145.0,3.0,3.0,6.0,1.0,72.5,14.0,0
0.0,1.0,0.5,3.0,145.0,4.0,2.0,6.0,3.0,72.5,10.0,0
10.0,1.0,0.09090909090909091,7.0,144.0,3.0,3.0,6.0,1.0,13.090909090909092,31.0,0
9.0,0.0,0.0,2.0,122.0,4.0,5.0,7.0,1.0,30.5,6.0,0
12.0,1.0,0.5,6.0,292.0,3.0,3.0,5.0,1.0,146.0,6.0,0
29.0,0.0,0.0,7.0,232.0,2.0,5.0,4.0,3.0,77.33333333333333,12.0,0
3.0,0.0,0.0,4.0,166.0,3.0,3.0,5.0,3.0,33.2,18.0,0
14.0,0.0,0.0,7.0,184.0,2.0,5.0,4.0,3.0,92.0,6.0,0
1.0,0.0,0.0,8.0,146.0,3.0,5.0,6.0,1.0,73.0,23.0,0
0.0,0.0,0.0,2.0,140.0,3.0,5.0,6.0,1.0,70.0,9.0,1
25.0,1.0,0.5,4.0,180.0,4.0,3.0,6.0,1.0,90.0,9.0,0
18.0,0.0,0.0,2.0,127.0,3.0,2.0,6.0,1.0,63.5,14.0,0
25.0,0.0,0.0,4.0,266.0,3.0,2.0,4.0,1.0,133.0,10.0,0
15.0,0.0,0.0,2.0,146.0,3.0,3.0,6.0,1.0,73.0,35.0,0
3.0,0.0,0.0,2.0,161.0,5.0,2.0,7.0,1.0,80.5,8.0,0
30.0,0.0,0.0,10.0,296.0,3.0,5.0,5.0,1.0,24.666666666666668,13.0,0
19.0,0.0,0.0,8.0,148.0,3.0,3.0,5.0,1.0,74.0,24.0,0
15.0,0.0,0.0,4.0,145.0,4.0,2.0,6.0,1.0,72.5,34.0,0
0.0,1.0,0.5,4.0,132.0,3.0,4.0,6.0,3.0,66.0,6.0,1
0.0,0.0,0.0,0.0,124.0,5.0,3.0,7.0,3.0,62.0,14.0,1
9.0,1.0,0.5,0.0,117.0,3.0,2.0,5.0,1.0,58.5,8.0,0
13.0,0.0,0.0,12.0,280.0,3.0,3.0,6.0,3.0,140.0,8.0,0
